Row Labels;Sum of CREDITO;;;
15527173 2 26268;1000000;;1000000;0
15527173 2 2835;600000;;600000;0
15527173 2 29450;2000000;;2000000;0
15527173 2 31946;2000000;;2000000;0
15527173 2 3349;300000;;300000;0
15527173 2 3640;1500000;;1500000;0
15527173 2 37167;2668000;;2668000;0
15527173 2 37363;2666000;;2666000;0
15527173 2 6061;1800000;;1800000;0
15527173 2 8576;1500000;;1500000;0
15527173 3 1011;200000;;200000;0
15527173 3 11671;500000;;500000;0
15527173 3 13725;300000;;300000;0
15527173 3 6531;100000;;100000;0
15527173 3 7191;100000;;100000;0
15527173 3 9216;500000;;500000;0
15527173 3 9737;300000;;300000;0
15527173 5 35538;2000000;;2000000;0
15527173 6 11976;868800;;868800;0
15527173 6 12788;868800;;868800;0
15527173 6 1612;201700;;201700;0
15527173 6 19974;868800;;868800;0
15527173 6 2099;201700;;201700;0
15527173 6 2304;366700;;366700;0
15527173 6 2757;513700;;513700;0
15527173 6 28325;726078;;726078;0
15527173 6 32566;820494;;820494;0
15527173 6 39003;1894352;;1894352;0
15527173 6 6249;623300;;623300;0
15527173 6 9289;868800;;868800;0
15527188 13 22222;415000;;415000;0
15527188 13 25022;606600;;606600;0
15527188 13 29341;639300;;639300;0
15527188 13 30729;489698;;489698;0
15527188 13 34515;936600;;936600;0
15527188 13 36138;1029000;;1029000;0
15527188 13 38014;757000;;757000;0
15527188 13 39076;789000;;789000;0
15527188 2 19826;360000;;360000;0
15527188 2 22650;360000;;360000;0
15527188 2 23627;730000;;730000;0
15527188 2 29177;1200000;;1200000;0
15527188 2 31654;1500000;;1500000;0
15527188 2 35648;1500000;;1500000;0
15527188 2 37050;2900000;;2900000;0
15527188 6 20132;256600;;256600;0
15527188 6 22991;319500;;319500;0
15527188 6 26238;638700;;638700;0
15527188 6 29850;638700;;638700;0
15527188 6 33406;574800;;574800;0
15527188 6 37013;1232100;;1232100;0
15527188 6 40186;1020600;;1020600;0
15527194 2 20841;236000;;236000;0
15527194 2 22098;1000000;;1000000;0
15527194 2 24405;1200000;;1200000;0
15527194 2 2662;600000;;600000;0
15527194 2 2668;640000;;640000;0
15527194 2 3310;605000;;605000;0
15527194 2 464;500000;;500000;0
15527194 2 679;500000;;500000;0
15527194 2 7492;605000;;605000;0
15527194 5 36472;1305976;;1305976;0
15527194 6 22103;1073900;;1073900;0
15527194 6 24142;273100;;273100;0
15527194 6 303;252000;;252000;0
15527194 6 437;350000;;350000;0
15527195 2 3403;500000;;500000;0
15527195 2 3428;500000;;500000;0
15527195 2 6739;500000;;500000;0
15527195 2 7702;1500000;;1500000;0
15527195 3 252;250000;;250000;0
15527195 3 258;300000;;300000;0
15527195 3 620;150000;;150000;0
15527195 3 725;250000;;250000;0
15527195 3 752;300000;;300000;0
15527195 6 102549;790000;;790000;0
15527195 6 4296;576000;;576000;0
15527195 6 7729;262800;;262800;0
15527207 2 1187;1399000;;1399000;0
15527207 2 1475;1399000;;1399000;0
15527207 2 1804;1399000;;1399000;0
15527207 2 403;1500000;;1500000;0
15527207 2 813;1399000;;1399000;0
15527207 2 821;1500000;;1500000;0
15527212 2 11704;660000;;660000;0
15527212 2 14578;1000000;;1000000;0
15527212 2 17003;1200000;;1200000;0
15527212 2 19691;1200000;;1200000;0
15527212 2 22737;1200000;;1200000;0
15527212 2 26513;1300000;;1300000;0
15527212 2 30493;1000000;;1000000;0
15527212 2 33918;1000000;;1000000;0
15527212 2 34108;1000000;;1000000;0
15527212 2 38406;1000000;;1000000;0
15527212 6 11705;407800;;407800;0
15527212 6 14825;307800;;307800;0
15527212 6 16698;682600;;682600;0
15527212 6 19377;682600;;682600;0
15527212 6 23146;1075100;;1075100;0
15527212 6 26594;2563400;;2563400;0
15527212 6 30387;1281700;;1281700;0
15527212 6 34112;1136000;;1136000;0
15527212 6 36353;1153000;;1153000;0
15527212 6 37155;1239900;;1239900;0
15527212 6 39130;1054500;;1054500;0
15527213 6 30901;341500;;341500;0
15527216 13 24471;441000;;441000;0
15527216 2 11267;1000000;;1000000;0
15527216 2 13807;1000000;;1000000;0
15527216 2 14761;1000000;;1000000;0
15527216 2 15458;300000;;300000;0
15527216 2 17255;1260000;;1260000;0
15527216 2 20040;1260000;;1260000;0
15527216 2 23045;1260000;;1260000;0
15527216 2 23956;1300000;;1300000;0
15527216 2 27462;1300000;;1300000;0
15527216 2 2983;350000;;350000;0
15527216 2 31588;1300000;;1300000;0
15527216 2 3321;350000;;350000;0
15527216 2 6564;350000;;350000;0
15527216 2 8691;1000000;;1000000;0
15527216 3 12229;300000;;300000;0
15527216 3 12991;300000;;300000;0
15527216 3 9355;100000;;100000;0
15527216 3 9518;120000;;120000;0
15527216 5 340;1842080;;1842080;0
15527216 6 102896;168000;;168000;0
15527216 6 12118;308800;;308800;0
15527216 6 14760;308800;;308800;0
15527216 6 17392;308800;;308800;0
15527216 6 20645;308800;;308800;0
15527216 6 23046;308800;;308800;0
15527216 6 26011;308800;;308800;0
15527216 6 31973;542080;;542080;0
15527216 6 4908;426800;;426800;0
15527216 6 7024;426800;;426800;0
15527216 6 9517;308800;;308800;0
15527228 2 25802;1600000;;1600000;0
15527228 2 38588;1250000;;1250000;0
15527228 2 39454;1300000;;1300000;0
15527228 6 34347;891482;;891482;0
15527263 2 399;450000;;450000;0
15527263 2 5414;450000;;450000;0
15527263 2 877;450000;;450000;0
15527263 6 10023;231000;;231000;0
15527267 13 40294;19968000;;19968000;0
15527275 13 35434;525600;;525600;0
15527275 13 38227;529900;;529900;0
15527275 2 1571;1500000;;1500000;0
15527275 2 15825;2200000;;2200000;0
15527275 2 1675;1600000;;1600000;0
15527275 2 18726;2400000;;2400000;0
15527275 2 18838;1100000;;1100000;0
15527275 2 2007;1600000;;1600000;0
15527275 2 21285;3500000;;3500000;0
15527275 2 23337;3500000;;3500000;0
15527275 2 26704;3500000;;3500000;0
15527275 2 2722;1000000;;1000000;0
15527275 2 30463;3500000;;3500000;0
15527275 2 32368;1500000;;1500000;0
15527275 2 32537;1000000;;1000000;0
15527275 2 349;1500000;;1500000;0
15527275 2 35928;2500000;;2500000;0
15527275 2 3622;1200000;;1200000;0
15527275 2 38096;2500000;;2500000;0
15527275 2 40194;3300000;;3300000;0
15527275 2 951;1600000;;1600000;0
15527275 6 103062;158800;;158800;0
15527275 6 11140;2265000;;2265000;0
15527275 6 14023;2125300;;2125300;0
15527275 6 5790;1713900;;1713900;0
15527275 6 8345;1804500;;1804500;0
15527275 6 954;387000;;387000;0
15527281 2 411;700000;;700000;0
15527281 6 10032;320000;;320000;0
15527283 5 12151;900000;;900000;0
15527309 6 100400;226000;;226000;0
15527309 6 101709;224800;;224800;0
15527309 6 102091;281000;;281000;0
15527309 6 236;236400;;236400;0
15527324 2 1323;350000;;350000;0
15527324 2 2199;310000;;310000;0
15527324 2 2751;370000;;370000;0
15527324 2 594;350000;;350000;0
15527342 13 34510;1372300;;1372300;0
15527342 13 37787;2348000;;2348000;0
15527342 13 39663;3568000;;3568000;0
15527342 2 37783;5998000;;5998000;0
15527342 2 39664;4000000;;4000000;0
15527342 6 50218;1459800;;1459800;0
15527348 13 34330;2360400;;2360400;0
15527348 13 37966;4970000;;4970000;0
15527348 13 40567;2938000;;2938000;0
15527348 6 30846;3440200;;3440200;0
15527348 6 35792;2485050;;2485050;0
15527348 6 36743;3383772;;3383772;0
15527348 6 39028;4034005;;4034005;0
15527363 2 31498;2400000;;2400000;0
15527363 2 37681;4500000;;4500000;0
15527368 13 36245;327500;;327500;0
15527368 13 37439;605600;;605600;0
15527368 13 39635;545700;;545700;0
15527368 2 38561;300000;;300000;0
15527368 2 40577;700000;;700000;0
15527372 2 19668;11000000;;11000000;0
15527372 2 25796;21000000;;21000000;0
15527384 2 11284;1600000;;1600000;0
15527384 2 14428;900000;;900000;0
15527384 2 16662;1200000;;1200000;0
15527384 2 19464;1400000;;1400000;0
15527384 2 207;934300;;934300;0
15527384 2 2075;600000;;600000;0
15527384 2 21628;1400000;;1400000;0
15527384 2 23988;1400000;;1400000;0
15527384 2 2942;300000;;300000;0
15527384 2 32235;1400000;;1400000;0
15527384 2 3652;550000;;550000;0
15527384 2 6144;700000;;700000;0
15527384 2 8457;1400000;;1400000;0
15527384 3 13161;600000;;600000;0
15527384 3 5365;300000;;300000;0
15527384 3 573;700000;;700000;0
15527384 3 938;300000;;300000;0
15527384 6 12794;369600;;369600;0
15527384 6 15862;1157400;;1157400;0
15527384 6 17986;1782500;;1782500;0
15527384 6 20636;1782500;;1782500;0
15527384 6 23429;1782500;;1782500;0
15527384 6 26658;1782500;;1782500;0
15527384 6 31501;1782500;;1782500;0
15527384 6 33917;1189000;;1189000;0
15527394 2 14231;5000000;;5000000;0
15527394 2 1513;1000000;;1000000;0
15527394 2 16415;5000000;;5000000;0
15527394 2 19245;7000000;;7000000;0
15527394 2 2037;2000000;;2000000;0
15527394 2 2342;2000000;;2000000;0
15527394 2 5781;2000000;;2000000;0
15527394 2 656;1200000;;1200000;0
15527394 2 8059;3000000;;3000000;0
15527394 2 9951;2758000;;2758000;0
15527394 6 100682;1220000;;1220000;0
15527394 6 101569;1405000;;1405000;0
15527394 6 102941;1594000;;1594000;0
15527394 6 11234;1697400;;1697400;0
15527394 6 160;986000;;986000;0
15527394 6 16553;1954500;;1954500;0
15527394 6 170;986000;;986000;0
15527394 6 19677;2763100;;2763100;0
15527394 6 5047;1532900;;1532900;0
15527409 13 22131;3029000;;3029000;0
15527409 13 25174;5961100;;5961100;0
15527409 2 10987;3000000;;3000000;0
15527409 2 13612;4000000;;4000000;0
15527409 2 16326;4000000;;4000000;0
15527409 2 19068;4000000;;4000000;0
15527409 2 1961;1150000;;1150000;0
15527409 2 21997;4000000;;4000000;0
15527409 2 23610;10000000;;10000000;0
15527409 2 27120;10000000;;10000000;0
15527409 2 307;980000;;980000;0
15527409 2 3625;2600000;;2600000;0
15527409 2 6054;2600000;;2600000;0
15527409 2 741;900000;;900000;0
15527409 2 7416;1600000;;1600000;0
15527409 2 940;1150000;;1150000;0
15527409 3 327;300000;;300000;0
15527409 6 10017;2116000;;2116000;0
15527409 6 101136;743700;;743700;0
15527409 6 12386;2720000;;2720000;0
15527409 6 15160;3441200;;3441200;0
15527409 6 1726;743700;;743700;0
15527409 6 18848;4609600;;4609600;0
15527409 6 21573;4609600;;4609600;0
15527409 6 219;473400;;473400;0
15527409 6 24473;4609600;;4609600;0
15527409 6 28493;4609600;;4609600;0
15527409 6 5994;573700;;573700;0
15527409 6 7438;1678400;;1678400;0
15527409 6 952;657500;;657500;0
15527413 2 11932;2000000;;2000000;0
15527413 2 14075;2000000;;2000000;0
15527413 2 16910;1000000;;1000000;0
15527413 2 19463;2500000;;2500000;0
15527413 2 21836;1500000;;1500000;0
15527413 2 24301;2000000;;2000000;0
15527413 2 27885;5410000;;5410000;0
15527413 2 31687;3000000;;3000000;0
15527413 2 35320;4000000;;4000000;0
15527413 2 37209;3000000;;3000000;0
15527413 2 3760;500000;;500000;0
15527413 2 38933;2500000;;2500000;0
15527413 2 40764;2050000;;2050000;0
15527413 2 410;500000;;500000;0
15527413 2 6346;500000;;500000;0
15527413 2 821;200000;;200000;0
15527413 6 100579;226000;;226000;0
15527413 6 11955;434000;;434000;0
15527413 6 16028;969000;;969000;0
15527413 6 24934;663700;;663700;0
15527413 6 39369;835500;;835500;0
15527413 7 9192;2000000;;2000000;0
15527420 2 11485;410000;;410000;0
15527420 2 14202;700000;;700000;0
15527420 2 15257;500000;;500000;0
15527420 2 16007;1200000;;1200000;0
15527420 2 18707;1600000;;1600000;0
15527420 2 22850;1130268;;1130268;0
15527420 3 10010;250000;;250000;0
15527420 3 11186;150000;;150000;0
15527420 3 12006;50000;;50000;0
15527420 3 12175;90000;;90000;0
15527420 3 13247;200000;;200000;0
15527420 3 9467;150000;;150000;0
15527420 3 9539;70000;;70000;0
15527420 6 11855;303100;;303100;0
15527420 6 13604;563800;;563800;0
15527420 6 15503;707300;;707300;0
15527420 6 18058;707300;;707300;0
15527420 6 22871;96300;;96300;0
15527422 2 10125;860000;;860000;0
15527422 2 13133;1300000;;1300000;0
15527422 2 19695;1500000;;1500000;0
15527422 2 22453;485000;;485000;0
15527422 2 3217;1000000;;1000000;0
15527422 2 34820;1500000;;1500000;0
15527422 2 4821;900000;;900000;0
15527422 2 7495;900000;;900000;0
15527430 2 250;4000000;;4000000;0
15527445 2 1613;1000000;;1000000;0
15527445 2 2104;1000000;;1000000;0
15527445 2 269;800000;;800000;0
15527445 2 3224;1500000;;1500000;0
15527445 2 4401;1500000;;1500000;0
15527445 2 570;800000;;800000;0
15527445 2 7098;1500000;;1500000;0
15527445 2 9554;1500000;;1500000;0
15527445 6 1121;272435;;272435;0
15527445 6 1486;272435;;272435;0
15527445 6 154;295500;;295500;0
15527445 6 1902;272435;;272435;0
15527445 6 2433;379200;;379200;0
15527445 6 2690;379200;;379200;0
15527447 2 1106;200000;;200000;0
15527447 2 12077;600000;;600000;0
15527447 2 13473;500000;;500000;0
15527447 2 15047;800000;;800000;0
15527447 2 18737;800000;;800000;0
15527447 2 21620;800000;;800000;0
15527447 2 2203;300000;;300000;0
15527447 2 24786;800000;;800000;0
15527447 2 2773;400000;;400000;0
15527447 2 28389;800000;;800000;0
15527447 2 32088;800000;;800000;0
15527447 2 3696;400000;;400000;0
15527447 2 9022;400000;;400000;0
15527447 3 833;140000;;140000;0
15527447 5 367;500000;;500000;0
15527447 6 101418;251100;;251100;0
15527447 6 102302;280850;;280850;0
15527447 6 102959;421699;;421699;0
15527447 6 14913;198400;;198400;0
15527447 6 17649;198400;;198400;0
15527447 6 20842;198400;;198400;0
15527447 6 24785;198400;;198400;0
15527447 6 28388;198400;;198400;0
15527447 6 32089;198400;;198400;0
15527447 6 931;158800;;158800;0
15527451 2 24247;600000;;600000;0
15527451 2 27919;600000;;600000;0
15527451 2 28753;890000;;890000;0
15527451 2 32296;890000;;890000;0
15527451 2 35436;1200000;;1200000;0
15527451 6 24321;376100;;376100;0
15527451 6 27918;376100;;376100;0
15527451 6 28769;439799;;439799;0
15527451 6 32297;439799;;439799;0
15527451 6 35438;774300;;774300;0
15527451 6 37384;936000;;936000;0
15527459 2 12223;1000000;;1000000;0
15527459 2 1473;1000000;;1000000;0
15527459 2 14874;1000000;;1000000;0
15527459 2 17062;1000000;;1000000;0
15527459 2 19946;1000000;;1000000;0
15527459 2 2275;1000000;;1000000;0
15527459 2 22791;1000000;;1000000;0
15527459 2 25886;1000000;;1000000;0
15527459 2 2920;1000000;;1000000;0
15527459 2 4407;1000000;;1000000;0
15527459 2 54;1000000;;1000000;0
15527459 2 675;1000000;;1000000;0
15527459 2 7020;1000000;;1000000;0
15527459 6 102330;567400;;567400;0
15527459 6 102999;709000;;709000;0
15527459 6 1087;189350;;189350;0
15527459 6 11816;477400;;477400;0
15527459 6 14513;571200;;571200;0
15527459 6 1581;168200;;168200;0
15527459 6 1653;189350;;189350;0
15527459 6 19741;908400;;908400;0
15527459 6 22481;908400;;908400;0
15527459 6 25619;908400;;908400;0
15527459 6 275;236400;;236400;0
15527459 6 5817;770000;;770000;0
15527459 6 8783;703800;;703800;0
15527465 13 25619;2414500;;2414500;0
15527465 2 10349;4000000;;4000000;0
15527465 2 12683;7000000;;7000000;0
15527465 2 15148;7000000;;7000000;0
15527465 2 1655;2000000;;2000000;0
15527465 2 18702;7000000;;7000000;0
15527465 2 21509;7000000;;7000000;0
15527465 2 23673;7000000;;7000000;0
15527465 2 2418;2500000;;2500000;0
15527465 2 26634;7000000;;7000000;0
15527465 2 31457;7000000;;7000000;0
15527465 2 3190;2500000;;2500000;0
15527465 2 4135;2500000;;2500000;0
15527465 2 498;2000000;;2000000;0
15527465 2 7096;3400000;;3400000;0
15527465 2 881;2000000;;2000000;0
15527465 5 36606;680958;;680958;0
15527465 6 101209;1097200;;1097200;0
15527465 6 101889;1536000;;1536000;0
15527465 6 102457;1726400;;1726400;0
15527465 6 10380;3188000;;3188000;0
15527465 6 14212;4415000;;4415000;0
15527465 6 17145;5111600;;5111600;0
15527465 6 21508;5111600;;5111600;0
15527465 6 23674;5111600;;5111600;0
15527465 6 27428;5111600;;5111600;0
15527465 6 2862;1365400;;1365400;0
15527465 6 31456;4600000;;4600000;0
15527465 6 7129;2070000;;2070000;0
15527470 13 35277;1725000;;1725000;0
15527470 13 37454;1400000;;1400000;0
15527470 13 39277;1168500;;1168500;0
15527470 2 1348;1580000;;1580000;0
15527470 2 20040;600000;;600000;0
15527470 2 20390;3000000;;3000000;0
15527470 2 23491;4200000;;4200000;0
15527470 2 25012;700000;;700000;0
15527470 2 2666;1580000;;1580000;0
15527470 2 26704;4200000;;4200000;0
15527470 2 31851;2279400;;2279400;0
15527470 2 32673;2279400;;2279400;0
15527470 2 35097;3000000;;3000000;0
15527470 2 37168;4000000;;4000000;0
15527470 2 39105;4600000;;4600000;0
15527470 2 4716;1600000;;1600000;0
15527470 2 48;2200000;;2200000;0
15527470 2 680;2200000;;2200000;0
15527470 3 12855;200000;;200000;0
15527470 3 5945;200000;;200000;0
15527470 6 107;278050;;278050;0
15527470 6 11284;826500;;826500;0
15527470 6 11305;297350;;297350;0
15527470 6 1390;491250;;491250;0
15527470 6 14104;463000;;463000;0
15527470 6 1563;491250;;491250;0
15527470 6 16276;730200;;730200;0
15527470 6 19282;1021600;;1021600;0
15527470 6 21114;1754800;;1754800;0
15527470 6 24058;1014200;;1014200;0
15527470 6 2489;431200;;431200;0
15527470 6 2671;68000;;68000;0
15527470 6 27234;1014200;;1014200;0
15527470 6 31852;570200;;570200;0
15527470 6 5474;462000;;462000;0
15527470 6 827;491250;;491250;0
15527470 6 8644;826500;;826500;0
15527470 7 10659;2300000;;2300000;0
15527470 7 13673;2300000;;2300000;0
15527470 7 15273;3000000;;3000000;0
15527470 7 18547;3000000;;3000000;0
15527470 7 7741;2300000;;2300000;0
15527474 2 25605;3000000;;3000000;0
15527474 2 29253;3000000;;3000000;0
15527474 2 32287;2880000;;2880000;0
15527474 2 36173;4000000;;4000000;0
15527474 2 38708;6000000;;6000000;0
15527474 6 14534;714000;;714000;0
15527474 6 16697;1072000;;1072000;0
15527474 6 18330;1248400;;1248400;0
15527474 6 21293;1055700;;1055700;0
15527474 6 25132;2023500;;2023500;0
15527474 6 27414;2023500;;2023500;0
15527474 6 31315;1836900;;1836900;0
15527496 2 1824;900000;;900000;0
15527496 2 19523;500000;;500000;0
15527496 2 19716;2200000;;2200000;0
15527496 2 22500;2200000;;2200000;0
15527496 2 2272;900000;;900000;0
15527496 2 25692;700000;;700000;0
15527496 2 28900;1000000;;1000000;0
15527496 2 3019;1500000;;1500000;0
15527496 2 33469;1200000;;1200000;0
15527496 2 3767;1300000;;1300000;0
15527496 2 39599;11000000;;11000000;0
15527496 2 4413;1300000;;1300000;0
15527496 3 12127;800000;;800000;0
15527496 3 9064;300000;;300000;0
15527496 6 100833;343500;;343500;0
15527496 6 102326;219500;;219500;0
15527496 6 11897;577600;;577600;0
15527496 6 17075;1272400;;1272400;0
15527496 6 19430;1419500;;1419500;0
15527496 6 33050;1107786;;1107786;0
15527515 2 11170;1500000;;1500000;0
15527515 2 13587;1500000;;1500000;0
15527515 2 16252;1500000;;1500000;0
15527515 2 17499;2100000;;2100000;0
15527515 2 20409;2100000;;2100000;0
15527515 2 23304;3000000;;3000000;0
15527515 2 2653;1062000;;1062000;0
15527515 2 2661;200000;;200000;0
15527515 2 2968;1000000;;1000000;0
15527515 2 3111;400000;;400000;0
15527515 2 3560;1500000;;1500000;0
15527515 2 5585;1500000;;1500000;0
15527515 2 8544;1449000;;1449000;0
15527515 3 586;700000;;700000;0
15527515 6 1133;678000;;678000;0
15527515 6 2081;854400;;854400;0
15527515 6 2494;591700;;591700;0
15527515 6 2766;721200;;721200;0
15527515 6 648;724000;;724000;0
15527515 6 689;630000;;630000;0
15527520 1 905;500000;;500000;0
15527520 13 22133;1639000;;1639000;0
15527520 13 22134;1649200;;1649200;0
15527520 13 25158;4270000;;4270000;0
15527520 13 28864;4282788;;4282788;0
15527520 2 1061;500000;;500000;0
15527520 2 13022;5000000;;5000000;0
15527520 2 16560;5000000;;5000000;0
15527520 2 19020;923000;;923000;0
15527520 2 19546;5000000;;5000000;0
15527520 2 2104;500000;;500000;0
15527520 2 2209;1000000;;1000000;0
15527520 2 22403;5000000;;5000000;0
15527520 2 25679;10936460;;10936460;0
15527520 2 265;300000;;300000;0
15527520 2 2823;1000000;;1000000;0
15527520 2 31707;2000000;;2000000;0
15527520 2 3603;3000000;;3000000;0
15527520 2 36795;2000000;;2000000;0
15527520 2 3816;1500000;;1500000;0
15527520 2 38503;3000000;;3000000;0
15527520 2 39586;2000000;;2000000;0
15527520 2 40231;0;;0;0
15527520 2 404;400000;;400000;0
15527520 2 5504;5000000;;5000000;0
15527520 2 623;1000000;;1000000;0
15527520 4 6;4001785;;4001785;0
15527520 5 35463;2000000;;2000000;0
15527520 6 1144;2032000;;2032000;0
15527520 6 278;163900;;163900;0
15527520 7 103;500000;;500000;0
15527520 7 9492;5550000;;5550000;0
15527522 13 37763;10371300;;10371300;0
15527522 2 39662;13000000;;13000000;0
15527522 6 21932;1064200;;1064200;0
15527534 2 17081;400000;;400000;0
15527534 2 19599;800000;;800000;0
15527534 2 22338;1000000;;1000000;0
15527534 2 24535;2400000;;2400000;0
15527534 2 28236;2000000;;2000000;0
15527534 2 31962;3000000;;3000000;0
15527534 2 36135;4000000;;4000000;0
15527534 2 39956;2700000;;2700000;0
15527534 6 14621;373700;;373700;0
15527534 6 17146;529400;;529400;0
15527534 6 19707;700100;;700100;0
15527534 6 22506;913200;;913200;0
15527534 6 25371;1013800;;1013800;0
15527534 6 40001;0;;0;0
15527538 2 1526;1000000;;1000000;0
15527538 2 1582;700000;;700000;0
15527538 2 2318;1300000;;1300000;0
15527538 2 723;800000;;800000;0
15527538 2 9375;1089000;;1089000;0
15527538 6 100481;610200;;610200;0
15527538 6 101203;568400;;568400;0
15527538 6 101874;509600;;509600;0
15527538 6 1754;552000;;552000;0
15527538 6 221;433200;;433200;0
15527538 6 7259;509600;;509600;0
15527539 2 10812;1500000;;1500000;0
15527539 2 13085;1800000;;1800000;0
15527539 2 15611;1500000;;1500000;0
15527539 2 19442;500000;;500000;0
15527539 2 2807;500000;;500000;0
15527539 2 3644;500000;;500000;0
15527539 2 5250;900000;;900000;0
15527539 2 7566;1300000;;1300000;0
15527539 6 102306;154000;;154000;0
15527539 6 102961;241600;;241600;0
15527539 6 10840;343200;;343200;0
15527539 6 13087;356900;;356900;0
15527539 6 15856;640900;;640900;0
15527539 6 17585;711200;;711200;0
15527539 6 20610;960800;;960800;0
15527539 6 306;159600;;159600;0
15527539 6 5139;318200;;318200;0
15527539 6 7798;218300;;218300;0
15527540 2 2064;400000;;400000;0
15527540 2 2920;200000;;200000;0
15527540 2 6327;200000;;200000;0
15527540 6 1548;307600;;307600;0
15527540 6 21659;725500;;725500;0
15527540 6 23967;927500;;927500;0
15527540 6 2673;246000;;246000;0
15527540 6 27472;1539807;;1539807;0
15527540 6 27833;1115202;;1115202;0
15527540 6 31415;1439496;;1439496;0
15527540 6 35407;1484115;;1484115;0
15527540 6 37782;1970500;;1970500;0
15527540 6 9395;431300;;431300;0
15527542 13 34763;3031700;;3031700;0
15527542 13 37378;3428500;;3428500;0
15527542 2 1030;500000;;500000;0
15527542 2 121;2240000;;2240000;0
15527542 2 2015;3000000;;3000000;0
15527542 2 2017;2900000;;2900000;0
15527542 2 28828;2200000;;2200000;0
15527542 2 3163;3800000;;3800000;0
15527542 2 3164;3714000;;3714000;0
15527542 2 32393;2500000;;2500000;0
15527542 2 3252;2240000;;2240000;0
15527542 2 36107;3000000;;3000000;0
15527542 2 38044;6200000;;6200000;0
15527542 2 40234;4000000;;4000000;0
15527542 2 64;1800000;;1800000;0
15527542 2 80;3714000;;3714000;0
15527542 2 8109;7344000;;7344000;0
15527542 2 997;1800000;;1800000;0
15527542 3 164;500000;;500000;0
15527542 3 6474;500000;;500000;0
15527542 4 16;2582144;;2582144;0
15527542 6 101008;308051;;308051;0
15527542 6 101009;831252;;831252;0
15527542 6 1398;667680;;667680;0
15527542 6 1652;1210000;;1210000;0
15527542 6 2534;1210000;;1210000;0
15527542 6 284;343000;;343000;0
15527542 6 308;385200;;385200;0
15527542 6 6255;1390000;;1390000;0
15527574 13 21686;4188300;;4188300;0
15527574 13 21687;4101300;;4101300;0
15527574 13 21688;4188300;;4188300;0
15527574 13 21734;9181400;;9181400;0
15527574 13 21735;9593800;;9593800;0
15527574 13 21736;9181400;;9181400;0
15527574 13 21865;10346800;;10346800;0
15527574 13 21866;10346800;;10346800;0
15527574 13 21867;10586400;;10586400;0
15527574 13 24761;55504800;;55504800;0
15527574 13 25205;91168567;;91168567;0
15527574 13 25206;1348000;;1348000;0
15527574 2 1110;8000000;;8000000;0
15527574 2 2052;12500000;;12500000;0
15527574 2 2419;15000000;;15000000;0
15527574 2 3011;16000000;;16000000;0
15527574 2 4130;18000000;;18000000;0
15527574 2 458;5700000;;5700000;0
15527574 2 7747;12000000;;12000000;0
15527574 2 96;3650000;;3650000;0
15527574 3 17;1500000;;1500000;0
15527574 3 231;6000000;;6000000;0
15527574 3 251;1700000;;1700000;0
15527574 3 35;1500000;;1500000;0
15527574 3 436;2500000;;2500000;0
15527574 3 459;4000000;;4000000;0
15527574 3 554;6000000;;6000000;0
15527574 3 623;6000000;;6000000;0
15527574 3 724;6000000;;6000000;0
15527574 3 757;6500000;;6500000;0
15527574 3 799;3000000;;3000000;0
15527574 3 85;1500000;;1500000;0
15527574 3 9093;7500000;;7500000;0
15527574 6 101379;5671641;;5671641;0
15527574 6 102230;9267100;;9267100;0
15527574 6 1028;1992000;;1992000;0
15527574 6 102891;8703600;;8703600;0
15527574 6 1029;208500;;208500;0
15527574 6 162;1300501;;1300501;0
15527574 6 337;2094050;;2094050;0
15527574 6 4328;908800;;908800;0
15527574 6 4488;7760000;;7760000;0
15527574 6 4502;3104000;;3104000;0
15527574 6 853;2273150;;2273150;0
15527574 6 862;2094050;;2094050;0
15527574 8 110;22000000;;22000000;0
15527574 8 12200;9000000;;9000000;0
15527574 8 12307;80000000;;80000000;0
15527574 8 14168;20000000;;20000000;0
15527574 8 15074;50000000;;50000000;0
15527574 8 15179;20000000;;20000000;0
15527574 8 15449;30000000;;30000000;0
15527574 8 15496;130000000;;130000000;0
15527574 8 17470;120000000;;120000000;0
15527574 8 17562;130000000;;130000000;0
15527574 8 17642;40000000;;40000000;0
15527574 8 19545;50000000;;50000000;0
15527574 8 20302;205000000;;205000000;0
15527574 8 20611;115000000;;115000000;0
15527574 8 21818;60000000;;60000000;0
15527574 8 23332;100000000;;100000000;0
15527574 8 23535;200000000;;200000000;0
15527574 8 23799;250000000;;250000000;0
15527574 8 24451;100000000;;100000000;0
15527574 8 25505;120000000;;120000000;0
15527574 8 25826;300000000;;300000000;0
15527574 8 26539;800000000;;800000000;0
15527574 8 27040;97350000;;97350000;0
15527574 8 27425;277147300;;277147300;0
15527574 8 8907;35000000;;35000000;0
15527574 8 8908;28000000;;28000000;0
15527574 8 9606;25000000;;25000000;0
15527574 8 9760;45000000;;45000000;0
15527585 2 14318;3800000;;3800000;0
15527585 2 2566;400000;;400000;0
15527585 2 3034;1100000;;1100000;0
15527585 2 4625;1000000;;1000000;0
15527585 6 102058;281000;;281000;0
15527585 6 102439;632000;;632000;0
15527585 6 10600;1641000;;1641000;0
15527585 6 15735;2602000;;2602000;0
15527585 6 18832;3467700;;3467700;0
15527585 6 4555;801100;;801100;0
15527585 6 7675;1264000;;1264000;0
15527624 13 28313;3063500;;3063500;0
15527624 13 29889;819600;;819600;0
