"","id.join","vr.pagos","NA","CREDITO"
"6624","15523125 2 1444",4,537000,"NULL"
"6625","15523125 2 2242",2,389000,"NULL"
"6626","15523125 2 321",2,620000,"NULL"
"6627","15523125 2 384",2,50000,"NULL"
"6628","15523125 2 6047",2,3e+05,"NULL"
"6629","15523125 2 688",4,620000,"NULL"
"6630","15523125 2 7867",2,5e+05,"NULL"
"6631","15523125 2 837",2,5e+05,"NULL"
"6632","15523125 6 11153",6,642000,"NULL"
"6633","15523125 6 1557",6,123,"NULL"
"6634","15523125 6 1558",12,682500,"NULL"
"6635","15523125 6 2065",6,682500,"NULL"
"6636","15523125 6 2533",6,682500,"NULL"
"6637","15523125 6 4830",6,682500,"NULL"
"6638","15523125 6 7233",18,682500,"NULL"
"6639","15523125 8 95",16,92000,"NULL"
"6640","15523126 2 1062",4,1500000,"NULL"
"6641","15523126 2 14497",2,2500000,"NULL"
"6642","15523126 2 15849",2,2500000,"NULL"
"6643","15523126 2 1662",2,1121000,"NULL"
"6644","15523126 2 1663",4,1500000,"NULL"
"6645","15523126 2 18609",2,2500000,"NULL"
"6646","15523126 2 1949",4,529000,"NULL"
"6647","15523126 2 22749",4,2500000,"NULL"
"6648","15523126 2 24152",2,5500000,"NULL"
"6649","15523126 2 27211",2,5500000,"NULL"
"6650","15523126 2 31717",2,5500000,"NULL"
"6651","15523126 3 397",3,150000,"NULL"
"6652","15523126 5 400",10,5500000,"NULL"
"6653","15523126 6 101765",6,843000,"NULL"
"6654","15523126 6 2220",12,843000,"NULL"
"6655","15523126 6 29253",6,1018122,"NULL"
"6656","15523126 6 38593",12,502477,"NULL"
"6657","15523126 6 9284",6,824200,"NULL"
"6658","15523134 2 20000013",4,550000,"NULL"
"6659","15523134 2 20000559",4,550000,"NULL"
"6660","15523134 2 20000902",4,516000,"NULL"
"6661","15523134 2 20001162",4,470000,"NULL"
"6662","15523134 2 20001392",4,450000,"NULL"
"6663","15523134 2 20001590",2,425000,"NULL"
"6664","15523134 2 20001765",4,425000,"NULL"
"6665","15523134 2 25036",2,1100000,"NULL"
"6666","15523134 2 31473",4,1e+06,"NULL"
"6667","15523134 2 35698",14,1e+06,"NULL"
"6668","15523148 2 14542",2,8e+05,"NULL"
"6669","15523148 6 100648",6,1064000,"NULL"
"6670","15523148 6 11428",6,2252650,"NULL"
"6671","15523148 6 14536",6,3122400,"NULL"
"6672","15523148 6 25418",6,2639900,"NULL"
"6673","15523149 2 22352",2,520000,"NULL"
"6674","15523149 6 22356",6,308500,"NULL"
"6675","15523152 2 1109",4,1500000,"NULL"
"6676","15523152 2 12110",4,1e+06,"NULL"
"6677","15523152 2 14445",2,2500000,"NULL"
"6678","15523152 2 19743",2,3e+06,"NULL"
"6679","15523152 2 21126",2,3e+06,"NULL"
"6680","15523152 2 2119",2,2e+06,"NULL"
"6681","15523152 2 22601",4,3e+06,"NULL"
"6682","15523152 2 24203",2,6e+06,"NULL"
"6683","15523152 2 25249",4,2600000,"NULL"
"6684","15523152 2 2678",4,2e+06,"NULL"
"6685","15523152 2 27652",2,6e+06,"NULL"
"6686","15523152 2 29037",2,2500000,"NULL"
"6687","15523152 2 31588",2,6500000,"NULL"
"6688","15523152 2 32836",4,3e+06,"NULL"
"6689","15523152 2 3427",2,2300000,"NULL"
"6690","15523152 2 35523",4,6500000,"NULL"
"6691","15523152 2 356",4,1e+06,"NULL"
"6692","15523152 2 38371",6,4e+06,"NULL"
"6693","15523152 2 38695",2,2e+06,"NULL"
"6694","15523152 2 39852",4,5500000,"NULL"
"6695","15523152 2 40766",2,1e+06,"NULL"
"6696","15523152 2 5181",4,2500000,"NULL"
"6697","15523152 2 9318",4,2e+06,"NULL"
"6698","15523152 3 6454",3,3e+05,"NULL"
"6699","15523152 3 6610",3,3e+05,"NULL"
"6700","15523152 3 726",3,7e+05,"NULL"
"6701","15523152 3 8625",3,4e+05,"NULL"
"6702","15523152 5 36611",10,2309400,"NULL"
"6703","15523152 5 440",15,3e+06,"NULL"
"6704","15523152 6 100993",12,1698200,"NULL"
"6705","15523152 6 100997",6,297550,"NULL"
"6706","15523152 6 101740",6,969100,"NULL"
"6707","15523152 6 102232",6,1167200,"NULL"
"6708","15523152 6 103053",18,1426900,"NULL"
"6709","15523152 6 17288",6,3143400,"NULL"
"6710","15523152 6 20010",6,3143400,"NULL"
"6711","15523152 6 20589",12,3143400,"NULL"
"6712","15523152 6 25712",6,2309400,"NULL"
"6713","15523152 6 29482",6,2309400,"NULL"
"6714","15523152 6 33247",6,2309400,"NULL"
"6715","15523152 6 376",6,414000,"NULL"
"6716","15523152 6 377",6,104650,"NULL"
"6717","15523152 6 38134",12,2275735,"NULL"
"6718","15523152 6 6224",6,283000,"NULL"
"6719","15523152 6 6448",24,1747900,"NULL"
"6720","15523152 6 9411",18,1975600,"NULL"
"6721","15523157 6 12947",6,514900,"NULL"
"6722","15523157 6 15687",12,992900,"NULL"
"6723","15523157 6 19164",18,992900,"NULL"
"6724","15523157 6 21783",12,978900,"NULL"
"6725","15523157 6 24556",6,976179,"NULL"
"6726","15523157 6 28122",12,976179,"NULL"
"6727","15523157 6 31816",24,974600,"NULL"
"6728","15523178 2 6382",2,2e+05,"NULL"
"6729","15523178 2 8768",2,3e+05,"NULL"
"6730","15523178 6 12462",6,364800,"NULL"
"6731","15523178 6 15080",6,518000,"NULL"
"6732","15523229 2 1046",2,2e+06,"NULL"
"6733","15523229 2 11189",10,4e+06,"NULL"
"6734","15523229 2 13813",2,4e+06,"NULL"
"6735","15523229 2 16230",6,4e+06,"NULL"
"6736","15523229 2 1643",2,2e+06,"NULL"
"6737","15523229 2 20125",2,4e+06,"NULL"
"6738","15523229 2 22997",4,4e+06,"NULL"
"6739","15523229 2 23985",4,6e+06,"NULL"
"6740","15523229 2 2480",6,2e+06,"NULL"
"6741","15523229 2 25019",4,3e+06,"NULL"
"6742","15523229 2 27561",4,9e+06,"NULL"
"6743","15523229 2 283",2,2e+06,"NULL"
"6744","15523229 2 29244",4,1e+06,"NULL"
"6745","15523229 2 31119",6,9e+06,"NULL"
"6746","15523229 2 35051",6,8e+06,"NULL"
"6747","15523229 2 3602",8,3500000,"NULL"
"6748","15523229 2 37809",6,8e+06,"NULL"
"6749","15523229 2 39850",6,8500000,"NULL"
"6750","15523229 2 8035",6,3500000,"NULL"
"6751","15523229 6 101621",12,1236600,"NULL"
"6752","15523229 6 102208",6,1204300,"NULL"
"6753","15523229 6 103024",6,1126400,"NULL"
"6754","15523229 6 11433",6,2172800,"NULL"
"6755","15523229 6 13364",12,2635300,"NULL"
"6756","15523229 6 15869",18,2993700,"NULL"
"6757","15523229 6 18655",18,4117600,"NULL"
"6758","15523229 6 22964",12,4117600,"NULL"
"6759","15523229 6 24038",6,3378200,"NULL"
"6760","15523229 6 5122",6,2005900,"NULL"
"6761","15523229 6 8918",6,1816500,"NULL"
"6762","15523229 6 964",12,1261500,"NULL"
"6763","15523259 13 24890",13,533700,"NULL"
"6764","15523259 13 28723",13,1425200,"NULL"
"6765","15523259 13 35468",130,1305500,"NULL"
"6766","15523259 13 37951",143,1890000,"NULL"
"6767","15523259 13 40195",52,3041100,"NULL"
"6768","15523259 13 40300",13,569800,"NULL"
"6769","15523259 2 1328",2,1800000,"NULL"
"6770","15523259 2 2166",2,2130000,"NULL"
"6771","15523259 2 24843",2,1240000,"NULL"
"6772","15523259 2 2873",2,2500000,"NULL"
"6773","15523259 2 28809",2,2400000,"NULL"
"6774","15523259 2 32371",2,3300000,"NULL"
"6775","15523259 2 33",8,2500000,"NULL"
"6776","15523259 2 36214",2,4200000,"NULL"
"6777","15523259 2 37331",4,6e+06,"NULL"
"6778","15523259 2 6114",4,1930000,"NULL"
"6779","15523259 2 630",2,1800000,"NULL"
"6780","15523259 6 100973",6,230000,"NULL"
"6781","15523259 6 102544",6,321000,"NULL"
"6782","15523259 6 1433",6,230000,"NULL"
"6783","15523259 6 1827",6,230000,"NULL"
"6784","15523259 6 24891",6,823900,"NULL"
"6785","15523259 6 28892",6,1437200,"NULL"
"6786","15523259 6 3159",6,297000,"NULL"
"6787","15523259 6 32410",6,2039345,"NULL"
"6788","15523259 6 6192",6,466900,"NULL"
"6789","15523266 2 106",2,897000,"NULL"
"6790","15523266 2 2343",2,1200000,"NULL"
"6791","15523266 2 7835",4,479162,"NULL"
"6792","15523266 2 801",2,897000,"NULL"
"6793","15523266 6 2005",24,264600,"NULL"
"6794","15523266 6 2022",6,378800,"NULL"
"6795","15523266 6 2443",6,680400,"NULL"
"6796","15523266 6 7836",6,457400,"NULL"
"6797","15523268 13 31372",39,819600,"NULL"
"6798","15523268 13 35141",390,2095570,"NULL"
"6799","15523268 13 37834",234,4884900,"NULL"
"6800","15523268 2 11498",2,6e+05,"NULL"
"6801","15523268 2 14834",4,1e+06,"NULL"
"6802","15523268 2 19588",2,2e+06,"NULL"
"6803","15523268 2 22342",6,3e+06,"NULL"
"6804","15523268 2 24836",2,3600000,"NULL"
"6805","15523268 2 28522",2,3700000,"NULL"
"6806","15523268 2 32911",4,3e+06,"NULL"
"6807","15523268 2 36340",4,4e+06,"NULL"
"6808","15523268 2 3726",2,150000,"NULL"
"6809","15523268 2 37777",2,5e+05,"NULL"
"6810","15523268 2 38586",2,3e+06,"NULL"
"6811","15523268 2 39654",4,1425606,"NULL"
"6812","15523268 2 5722",2,7e+05,"NULL"
"6813","15523268 2 9074",2,1100000,"NULL"
"6814","15523268 6 11389",6,637150,"NULL"
"6815","15523268 6 13488",6,1013700,"NULL"
"6816","15523268 6 15433",12,1397600,"NULL"
"6817","15523268 6 18512",6,1630400,"NULL"
"6818","15523268 6 20784",12,1955000,"NULL"
"6819","15523268 6 24218",12,1123000,"NULL"
"6820","15523268 6 25572",6,1296500,"NULL"
"6821","15523268 6 26716",12,1149800,"NULL"
"6822","15523268 6 2676",6,178000,"NULL"
"6823","15523268 6 29289",6,1298210,"NULL"
"6824","15523268 6 33018",6,1296688,"NULL"
"6825","15523268 6 36823",6,976396,"NULL"
"6826","15523268 6 6299",6,383200,"NULL"
"6827","15523268 6 9226",6,308900,"NULL"
"6828","15523278 13 20001960",26,1480800,"NULL"
"6829","15523278 13 30534",52,1366000,"NULL"
"6830","15523278 13 35244",65,2709350,"NULL"
"6831","15523278 13 36270",91,8931721,"NULL"
"6832","15523278 13 37773",52,11685500,"NULL"
"6833","15523278 13 39421",260,17300000,"NULL"
"6834","15523278 2 260",4,2710000,"NULL"
"6835","15523278 2 354",4,1500000,"NULL"
"6836","15523286 13 37566",182,838000,"NULL"
"6837","15523290 13 32381",39,1848000,"NULL"
"6838","15523290 13 38122",104,2031000,"NULL"
"6839","15523290 2 1508",4,550000,"NULL"
"6840","15523290 2 15752",4,3e+06,"NULL"
"6841","15523290 2 18850",6,2530000,"NULL"
"6842","15523290 2 22069",2,1400000,"NULL"
"6843","15523290 2 2279",2,284000,"NULL"
"6844","15523290 2 25402",4,4e+06,"NULL"
"6845","15523290 2 2622",2,284000,"NULL"
"6846","15523290 2 28233",2,7900000,"NULL"
"6847","15523290 2 31892",2,7900000,"NULL"
"6848","15523290 2 3432",8,9e+05,"NULL"
"6849","15523290 5 35629",20,11919353,"NULL"
"6850","15523290 6 100637",6,428400,"NULL"
"6851","15523290 6 102293",6,330000,"NULL"
"6852","15523290 6 102798",6,389600,"NULL"
"6853","15523290 6 11430",6,474200,"NULL"
"6854","15523290 6 12840",6,761600,"NULL"
"6855","15523290 6 15836",6,1046100,"NULL"
"6856","15523290 6 18070",12,1803900,"NULL"
"6857","15523290 6 20853",6,1316800,"NULL"
"6858","15523290 6 25452",6,1485600,"NULL"
"6859","15523290 6 28386",6,4019353,"NULL"
"6860","15523290 6 31893",6,4019353,"NULL"
"6861","15523290 7 11449",7,4e+05,"NULL"
"6862","15523290 7 12783",7,7e+05,"NULL"
"6863","15523306 2 1309",2,3e+05,"NULL"
"6864","15523306 2 13451",2,2200000,"NULL"
"6865","15523306 2 15797",2,2200000,"NULL"
"6866","15523306 2 1745",4,1300000,"NULL"
"6867","15523306 2 19504",2,1300000,"NULL"
"6868","15523306 2 22788",2,3e+06,"NULL"
"6869","15523306 2 2573",2,928000,"NULL"
"6870","15523306 2 25761",4,3e+06,"NULL"
"6871","15523306 2 26519",2,1500000,"NULL"
"6872","15523306 2 266",2,1e+06,"NULL"
"6873","15523306 2 30289",2,1500000,"NULL"
"6874","15523306 2 3262",2,928000,"NULL"
"6875","15523306 2 3289",2,928000,"NULL"
"6876","15523306 2 3463",2,928000,"NULL"
"6877","15523306 2 35125",2,1750000,"NULL"
"6878","15523306 2 39205",2,1e+06,"NULL"
"6879","15523306 2 5766",4,928000,"NULL"
"6880","15523306 2 6862",4,1500000,"NULL"
"6881","15523306 2 9949",2,1432000,"NULL"
"6882","15523306 3 12365",3,2e+05,"NULL"
"6883","15523306 3 14548",3,1e+05,"NULL"
"6884","15523306 3 6399",3,120000,"NULL"
"6885","15523306 3 6626",3,150000,"NULL"
"6886","15523306 3 844",3,150000,"NULL"
"6887","15523306 5 37407",10,1750000,"NULL"
"6888","15523306 6 102342",12,299900,"NULL"
"6889","15523306 6 102779",6,277600,"NULL"
"6890","15523306 6 17701",6,622300,"NULL"
"6891","15523306 6 20728",6,947400,"NULL"
"6892","15523306 6 6881",12,506800,"NULL"
"6893","15523315 2 12759",2,1300000,"NULL"
"6894","15523315 2 20627",4,3500000,"NULL"
"6895","15523315 2 26972",2,1e+06,"NULL"
"6896","15523315 2 30747",2,4e+06,"NULL"
"6897","15523315 6 19182",6,255600,"NULL"
"6898","15523315 7 10728",7,1e+06,"NULL"
"6899","15523315 7 14974",7,1200000,"NULL"
"6900","15523315 7 17622",7,1300000,"NULL"
"6901","15523315 7 198",7,5e+05,"NULL"
"6902","15523315 7 234",7,8e+05,"NULL"
"6903","15523315 7 260",7,6e+05,"NULL"
"6904","15523315 7 5059",7,1e+06,"NULL"
"6905","15523315 7 8491",7,1e+06,"NULL"
"6906","15523325 13 28487",39,4651000,"NULL"
"6907","15523325 2 12074",2,2500000,"NULL"
"6908","15523325 2 14803",2,2500000,"NULL"
"6909","15523325 2 16136",4,2500000,"NULL"
"6910","15523325 2 21601",4,8600000,"NULL"
"6911","15523325 2 24270",2,5951400,"NULL"
"6912","15523325 2 25958",4,5951400,"NULL"
"6913","15523325 2 29625",2,5e+06,"NULL"
"6914","15523325 2 3023",2,850000,"NULL"
"6915","15523325 2 33455",2,5e+06,"NULL"
"6916","15523325 2 36755",2,5e+06,"NULL"
"6917","15523325 2 3891",2,2e+05,"NULL"
"6918","15523325 2 5447",4,1e+06,"NULL"
"6919","15523325 2 8607",4,852000,"NULL"
"6920","15523325 6 103109",6,738000,"NULL"
"6921","15523325 6 6258",6,738000,"NULL"
"6922","15523325 6 9360",6,738000,"NULL"
"6923","15523349 6 101771",6,340800,"NULL"
"6924","15523349 6 102693",6,1284600,"NULL"
"6925","15523349 6 10430",6,1498000,"NULL"
"6926","15523349 6 237",6,1331752,"NULL"
"6927","15523349 6 4877",6,1496800,"NULL"
"6928","15523349 6 7687",12,1636000,"NULL"
"6929","15523353 2 1000",2,3300000,"NULL"
"6930","15523353 2 16012",2,7400000,"NULL"
"6931","15523353 2 19847",2,7700000,"NULL"
"6932","15523353 2 2077",2,4900000,"NULL"
"6933","15523353 2 21452",2,7900000,"NULL"
"6934","15523353 2 24700",4,8700000,"NULL"
"6935","15523353 2 2726",2,6400000,"NULL"
"6936","15523353 2 2731",2,6400000,"NULL"
"6937","15523353 2 28029",2,11100000,"NULL"
"6938","15523353 2 32840",4,11100000,"NULL"
"6939","15523353 2 8652",2,8100000,"NULL"
"6940","15523353 6 100433",6,2011400,"NULL"
"6941","15523353 6 196",6,350100,"NULL"
"6942","15523353 6 20032",6,2672000,"NULL"
"6943","15523353 6 414",6,471000,"NULL"
"6944","15523353 6 429",6,350100,"NULL"
"6945","15523359 2 1194",2,2e+06,"NULL"
"6946","15523359 2 12273",2,2400000,"NULL"
"6947","15523359 2 14529",4,3500000,"NULL"
"6948","15523359 2 1467",2,2e+06,"NULL"
"6949","15523359 2 15610",2,3500000,"NULL"
"6950","15523359 2 1726",8,2e+06,"NULL"
"6951","15523359 2 18841",4,3500000,"NULL"
"6952","15523359 2 21805",2,3500000,"NULL"
"6953","15523359 2 24119",4,3500000,"NULL"
"6954","15523359 2 28106",2,3e+06,"NULL"
"6955","15523359 2 31723",2,3e+06,"NULL"
"6956","15523359 2 397",2,390000,"NULL"
"6957","15523359 2 39737",2,3500000,"NULL"
"6958","15523359 2 5553",4,2553000,"NULL"
"6959","15523359 2 707",6,2e+06,"NULL"
"6960","15523359 2 9414",2,2400000,"NULL"
"6961","15523359 5 35471",25,3e+06,"NULL"
"6962","15523359 5 35592",20,1414000,"NULL"
"6963","15523359 6 13434",6,738600,"NULL"
"6964","15523359 6 16080",6,1909000,"NULL"
"6965","15523359 6 18843",18,1909000,"NULL"
"6966","15523359 6 21992",6,1909000,"NULL"
"6967","15523359 6 24120",6,1909000,"NULL"
"6968","15523359 6 28107",18,3818000,"NULL"
"6969","15523359 6 3005",6,251350,"NULL"
"6970","15523359 6 3011",6,74700,"NULL"
"6971","15523359 6 31724",12,1909000,"NULL"
"6972","15523364 2 1146",2,115000,"NULL"
"6973","15523364 2 1876",2,160000,"NULL"
"6974","15523364 2 2708",2,160000,"NULL"
"6975","15523364 3 491",3,60000,"NULL"
"6976","15523366 2 587",4,1200000,"NULL"
"6977","15523366 2 859",2,1200000,"NULL"
"6978","15523368 2 10163",2,1494000,"NULL"
"6979","15523368 2 13990",4,1494000,"NULL"
"6980","15523368 2 1832",2,1260000,"NULL"
"6981","15523368 2 246",2,1e+06,"NULL"
"6982","15523368 2 2702",2,1500000,"NULL"
"6983","15523368 2 2712",2,1810000,"NULL"
"6984","15523368 2 3325",4,1810000,"NULL"
"6985","15523368 2 625",2,8e+05,"NULL"
"6986","15523368 2 7006",6,1570000,"NULL"
"6987","15523368 6 11881",6,690200,"NULL"
"6988","15523368 6 14872",6,690200,"NULL"
"6989","15523368 6 1542",6,180000,"NULL"
"6990","15523368 6 1568",6,270200,"NULL"
"6991","15523368 6 2147",18,270200,"NULL"
"6992","15523368 6 22454",6,690200,"NULL"
"6993","15523368 6 40",6,270200,"NULL"
"6994","15523368 6 9154",6,330200,"NULL"
"6995","15523383 2 11964",2,1600000,"NULL"
"6996","15523383 2 22360",2,1500000,"NULL"
"6997","15523383 2 34594",10,4e+06,"NULL"
"6998","15523383 2 40426",2,0,"NULL"
"6999","15523383 2 9202",2,1600000,"NULL"
"7000","15523403 2 1389",4,1e+06,"NULL"
"7001","15523407 2 1057",6,4e+05,"NULL"
"7002","15523407 2 1349",4,2e+05,"NULL"
"7003","15523407 2 190",6,4e+05,"NULL"
"7004","15523407 2 2066",8,3e+05,"NULL"
"7005","15523407 2 22704",6,7e+05,"NULL"
"7006","15523407 2 2491",4,3e+05,"NULL"
"7007","15523407 2 3368",8,2e+05,"NULL"
"7008","15523407 2 584",2,2e+05,"NULL"
"7009","15523407 3 226",3,150000,"NULL"
"7010","15523407 3 413",3,80000,"NULL"
"7011","15523407 3 542",3,150000,"NULL"
"7012","15523407 3 592",3,2e+05,"NULL"
"7013","15523407 3 6388",6,250000,"NULL"
"7014","15523407 3 846",6,250000,"NULL"
"7015","15523407 6 100366",12,252200,"NULL"
"7016","15523407 6 101183",18,299500,"NULL"
"7017","15523407 6 102024",18,291200,"NULL"
"7018","15523407 6 102735",18,272901,"NULL"
"7019","15523407 6 10455",24,470800,"NULL"
"7020","15523407 6 13004",18,570700,"NULL"
"7021","15523407 6 15656",24,643000,"NULL"
"7022","15523407 6 18238",24,898700,"NULL"
"7023","15523407 6 20016",12,218300,"NULL"
"7024","15523407 6 21194",24,599000,"NULL"
"7025","15523407 6 37592",12,451800,"NULL"
"7026","15523407 6 4979",36,377600,"NULL"
"7027","15523407 6 7684",30,348100,"NULL"
"7028","15523422 2 1186",2,7e+05,"NULL"
"7029","15523422 2 161",2,3900000,"NULL"
"7030","15523422 2 1759",2,1300000,"NULL"
"7031","15523422 2 2392",2,1300000,"NULL"
"7032","15523422 2 3141",2,1700000,"NULL"
"7033","15523422 2 3976",2,1500000,"NULL"
"7034","15523422 2 501",2,5e+05,"NULL"
"7035","15523422 2 8317",2,3900000,"NULL"
"7036","15523422 2 8319",2,1840000,"NULL"
"7037","15523422 2 9582",2,3900000,"NULL"
"7038","15523422 2 9583",2,1840000,"NULL"
"7039","15523422 6 101909",12,786000,"NULL"
"7040","15523422 6 102531",6,1023800,"NULL"
"7041","15523422 6 103176",6,996800,"NULL"
"7042","15523422 6 2854",6,2300000,"NULL"
"7043","15523422 6 6624",12,2300000,"NULL"
"7044","15523422 6 72",6,2300000,"NULL"
"7045","15523422 6 73",6,2300000,"NULL"
"7046","15523422 6 8318",6,996800,"NULL"
"7047","15523422 6 9581",6,2041000,"NULL"
"7048","15523422 6 9584",12,996800,"NULL"
"7049","15523422 6 971",6,340500,"NULL"
"7050","15523434 2 9909",4,1200000,"NULL"
"7051","15523434 6 9957",6,637200,"NULL"
"7052","15523441 2 1794",2,2e+05,"NULL"
"7053","15523441 2 55",2,6e+05,"NULL"
"7054","15523441 2 669",4,6e+05,"NULL"
"7055","15523441 6 101334",6,214200,"NULL"
"7056","15523446 2 11672",4,1100000,"NULL"
"7057","15523446 2 14676",4,2e+06,"NULL"
"7058","15523446 2 17232",4,1200000,"NULL"
"7059","15523446 2 19638",2,5e+05,"NULL"
"7060","15523446 2 2285",2,6e+05,"NULL"
"7061","15523446 2 2824",2,1100000,"NULL"
"7062","15523446 2 3738",2,6e+05,"NULL"
"7063","15523446 2 4204",2,7e+05,"NULL"
"7064","15523446 2 5324",2,7e+05,"NULL"
"7065","15523446 2 8591",6,1100000,"NULL"
"7066","15523446 6 101547",6,393400,"NULL"
"7067","15523446 6 102167",6,426800,"NULL"
"7068","15523446 6 11114",6,869600,"NULL"
"7069","15523446 6 14024",12,1527600,"NULL"
"7070","15523446 6 17233",6,2157300,"NULL"
"7071","15523446 6 19644",18,3066400,"NULL"
"7072","15523479 6 16178",12,522600,"NULL"
"7073","15523490 2 11624",4,2e+06,"NULL"
"7074","15523490 2 13855",2,2500000,"NULL"
"7075","15523490 2 17017",2,2500000,"NULL"
"7076","15523490 2 1865",2,8e+05,"NULL"
"7077","15523490 2 21779",2,2500000,"NULL"
"7078","15523490 2 24726",64,2500000,"NULL"
"7079","15523490 2 264",2,6e+05,"NULL"
"7080","15523490 2 4454",2,8e+05,"NULL"
"7081","15523490 2 8353",6,1e+06,"NULL"
"7082","15523490 5 37144",25,4521200,"NULL"
"7083","15523490 6 101401",6,597100,"NULL"
"7084","15523490 6 10221",6,1162400,"NULL"
"7085","15523490 6 12733",24,1532200,"NULL"
"7086","15523490 6 18578",6,2021200,"NULL"
"7087","15523490 6 21778",6,2021200,"NULL"
"7088","15523490 6 24727",6,2021200,"NULL"
"7089","15523490 6 31404",48,2021200,"NULL"
"7090","15523490 6 4072",6,236400,"NULL"
"7091","15523490 6 4475",6,927000,"NULL"
"7092","15523490 6 6866",18,875700,"NULL"
"7093","15523505 2 12420",6,1900000,"NULL"
"7094","15523505 2 15307",4,1e+06,"NULL"
"7095","15523505 2 16288",8,1400000,"NULL"
"7096","15523505 2 1977",4,1180000,"NULL"
"7097","15523505 2 20124",2,1e+06,"NULL"
"7098","15523505 2 202",4,1e+06,"NULL"
"7099","15523505 2 22063",4,1400000,"NULL"
"7100","15523505 2 23095",2,1e+06,"NULL"
"7101","15523505 2 2429",4,1130000,"NULL"
"7102","15523505 2 26362",2,1400000,"NULL"
"7103","15523505 2 26363",2,1e+06,"NULL"
"7104","15523505 2 2894",6,1039000,"NULL"
"7105","15523505 2 30080",2,1400000,"NULL"
"7106","15523505 2 30081",4,1e+06,"NULL"
"7107","15523505 2 33526",2,1400000,"NULL"
"7108","15523505 2 3687",8,1500000,"NULL"
"7109","15523505 2 38382",4,1e+06,"NULL"
"7110","15523505 2 38924",8,6e+06,"NULL"
"7111","15523505 2 4",6,1300000,"NULL"
"7112","15523505 2 7456",6,1600000,"NULL"
"7113","15523505 2 863",4,1200000,"NULL"
"7114","15523505 2 9762",4,1900000,"NULL"
"7115","15523505 6 100241",12,502050,"NULL"
"7116","15523505 6 101077",6,595400,"NULL"
"7117","15523505 6 101794",6,660200,"NULL"
"7118","15523505 6 102572",12,537200,"NULL"
"7119","15523505 6 12521",12,1201000,"NULL"
"7120","15523505 6 15230",18,1539100,"NULL"
"7121","15523505 6 20050",12,454000,"NULL"
"7122","15523505 6 20065",6,1362000,"NULL"
"7123","15523505 6 23096",18,1362000,"NULL"
"7124","15523505 6 26636",6,1413400,"NULL"
"7125","15523505 6 30082",6,1413400,"NULL"
"7126","15523505 6 33642",6,1413400,"NULL"
"7127","15523505 6 4285",12,804800,"NULL"
"7128","15523505 6 7059",24,1010700,"NULL"
"7129","15523505 6 9799",24,1061800,"NULL"
"7130","15523510 13 21882",39,3774000,"NULL"
"7131","15523510 13 29145",52,2425500,"NULL"
"7132","15523510 13 35854",91,4448600,"NULL"
"7133","15523510 2 1161",4,4098000,"NULL"
"7134","15523510 2 12700",2,3900000,"NULL"
"7135","15523510 2 133",2,5830000,"NULL"
"7136","15523510 2 1339",2,2770000,"NULL"
"7137","15523510 2 15704",4,6e+06,"NULL"
"7138","15523510 2 164",2,5130000,"NULL"
"7139","15523510 2 18258",8,8100000,"NULL"
"7140","15523510 2 20207",2,9e+06,"NULL"
"7141","15523510 2 24317",2,8e+06,"NULL"
"7142","15523510 2 27897",2,4500000,"NULL"
"7143","15523510 2 31619",2,4500000,"NULL"
"7144","15523510 2 3315",2,5130000,"NULL"
"7145","15523510 2 34721",2,4500000,"NULL"
"7146","15523510 2 360",2,4098000,"NULL"
"7147","15523510 2 37344",2,5e+06,"NULL"
"7148","15523510 2 7428",2,3500000,"NULL"
"7149","15523510 2 9895",2,3500000,"NULL"
"7150","15523510 6 1155",6,1540000,"NULL"
"7151","15523510 6 15706",6,4085200,"NULL"
"7152","15523510 6 18522",6,1940000,"NULL"
"7153","15523510 6 20210",6,5963000,"NULL"
"7154","15523510 6 2161",6,2082000,"NULL"
"7155","15523510 6 2213",12,1540000,"NULL"
"7156","15523510 6 2775",6,1540000,"NULL"
"7157","15523510 6 34722",6,5e+06,"NULL"
"7158","15523510 6 37867",12,4960000,"NULL"
"7159","15523510 6 540",6,1540000,"NULL"
"7160","15523510 6 5987",6,1347500,"NULL"
"7161","15523510 6 7236",6,1536500,"NULL"
"7162","15523510 8 98",16,2200000,"NULL"
"7163","15523521 13 34348",273,1316500,"NULL"
"7164","15523521 2 14717",2,3e+05,"NULL"
"7165","15523521 2 16391",2,1400000,"NULL"
"7166","15523521 2 16773",2,6e+05,"NULL"
"7167","15523521 2 17622",2,6e+05,"NULL"
"7168","15523521 2 19303",2,1400000,"NULL"
"7169","15523521 2 20000095",2,1280000,"NULL"
"7170","15523521 2 20000590",2,1280000,"NULL"
"7171","15523521 2 20000968",4,1280000,"NULL"
"7172","15523521 2 20001216",2,1e+06,"NULL"
"7173","15523521 2 20001444",4,1e+06,"NULL"
"7174","15523521 2 21760",2,1400000,"NULL"
"7175","15523521 2 29184",2,1e+06,"NULL"
"7176","15523521 2 31600",2,1e+06,"NULL"
"7177","15523521 2 34171",10,2300000,"NULL"
"7178","15523521 2 36268",2,5e+05,"NULL"
"7179","15523521 2 36849",2,1280000,"NULL"
"7180","15523521 2 37729",2,5e+05,"NULL"
"7181","15523521 2 38743",2,5e+05,"NULL"
"7182","15523521 2 38918",6,1250000,"NULL"
"7183","15523521 2 40518",2,6e+05,"NULL"
"7184","15523521 3 12187",3,4e+05,"NULL"
